Nachname,Vorname,Position,Spiele,Tore,Fehlwürfe,Feldtore,7-Meter-Tore,Wurfquote,Assists,Technische Fehler,Steals,Blocks,Gelbe Karten,2 min Strafen,Rote Karten,Blaue Karten
Magnusson,Omar Ingi,RR,27,186,89,99,87,0.6809,111,48,6,2,2,10,0,0
Mertens,Lukas,LA,28,105,34,105,0,0.7413,20,2,14,0,1,1,0,0
Jensen,Magnus Saugstrup,KM,28,74,18,74,0,0.8065,4,10,5,10,3,7,0,0
Damgaard,Michael,RL,26,67,59,67,0,0.5420,14,6,0,0,0,1,0,0
Kristjansson,Gisli Thorgeir,RM,28,66,42,66,0,0.6036,46,28,0,0,0,0,0,0
Weber,Philipp,RL,28,65,46,65,0,0.5776,23,16,0,1,0,3,0,0
Hornke,Tim,RA,24,54,24,46,8,0.7000,4,4,5,0,0,4,0,0
Pettersson,Daniel,RA,28,53,19,53,0,0.7361,8,5,2,1,0,1,0,0
Gullerud,Magnus,KM,28,50,11,50,0,0.8254,13,6,5,10,6,8,0,0
Smits,Kay,RR,28,48,21,39,9,0.7,14,4,0,0,0,2,0,0
O'Sullivan,Christian,RM,27,40,6,40,0,0.8491,46,10,9,7,3,5,0,0
Bezjak,Marko,RM,28,27,11,27,0,0.7,36,23,9,3,2,12,1,0
Chrapkowski,Piotr,RL,28,14,3,14,0,0.8235,9,2,10,12,1,20,1,0
Preuss,Moritz,KM,11,5,1,5,0,0.8333,0,2,0,1,0,2,0,0
Musche,Matthias,LA,16,4,2,4,0,0.7273,2,0,0,0,0,0,0,0
Green,Jannick,TW,28,1,1,1,0,0.5,2,0,0,0,0,2,0,0
Jensen,Mike,TW,28,1,0,1,0,1.0,1,0,0,0,0,1,0,0
Baumgart,Luka,RL,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Uscins,Renars,RR,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Ruddat,Elias,LA,2,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Eissing,Felix,RA,2,0,0,0,0,0.0,0,0,0,0,0,0,0,0
